Timestamp,BB,JJ,FF,MM,DD,HH,AA,II,PnL,Cum PnL,BBJJ PnL,BBJJ Cum PnL,FFMM PnL,FFMM Cum PnL,DDHH PnL,DDHH Cum PnL,AAII PnL,AAII Cum PnL
27/02/2018 02:55,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171190.35000000024,-0.0,64492.50000000011,-0.0,76951.35000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:40,-0.0,-0.0,-18480.0,18029.7,-0.0,-0.0,-0.0,-0.0,-450.2999999999993,170740.05000000025,-0.0,64492.50000000011,-450.2999999999993,76501.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,170740.05000000025,-0.0,64492.50000000011,-0.0,76501.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:50,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,170740.05000000025,-0.0,64492.50000000011,-0.0,76501.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 03:55,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,170740.05000000025,-0.0,64492.50000000011,-0.0,76501.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,170740.05000000025,-0.0,64492.50000000011,-0.0,76501.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,170740.05000000025,-0.0,64492.50000000011,-0.0,76501.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:10,-11220.300000000001,18730.800000000003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7510.500000000002,178250.55000000025,7510.500000000002,72003.00000000012,-0.0,76501.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:15,10955.4,-18118.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7163.1,171087.45000000024,-7163.1,64839.90000000012,-0.0,76501.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:20,-11310.3,18730.800000000003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7420.500000000004,178507.95000000024,7420.500000000004,72260.40000000013,-0.0,76501.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:25,11634.150000000001,-19210.350000000002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7576.200000000001,170931.75000000023,-7576.200000000001,64684.20000000013,-0.0,76501.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,170931.75000000023,-0.0,64684.20000000013,-0.0,76501.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:35,-11597.849999999999,19260.149999999998,18550.4,-17969.4,-0.0,-0.0,-0.0,-0.0,8243.3,179175.05000000022,7662.299999999999,72346.50000000013,581.0,77082.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,179175.05000000022,-0.0,72346.50000000013,-0.0,77082.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,179175.05000000022,-0.0,72346.50000000013,-0.0,77082.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:50,11628.099999999999,-19210.350000000002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7582.250000000004,171592.80000000022,-7582.250000000004,64764.25000000013,-0.0,77082.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 04:55,-11597.849999999999,19285.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7687.200000000001,179280.00000000023,7687.200000000001,72451.45000000013,-0.0,77082.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,179280.00000000023,-0.0,72451.45000000013,-0.0,77082.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:05,11616.0,-19197.899999999998,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7581.899999999998,171698.10000000024,-7581.899999999998,64869.550000000134,-0.0,77082.05000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:10,-11585.75,19260.149999999998,-18480.0,18029.7,-0.0,-0.0,-0.0,-0.0,7224.0999999999985,178922.20000000024,7674.399999999998,72543.95000000013,-450.2999999999993,76631.75000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:15,-0.0,-0.0,18541.6,-17979.45,-0.0,-0.0,-0.0,-0.0,562.1499999999978,179484.35000000024,-0.0,72543.95000000013,562.1499999999978,77193.90000000011,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:20,-0.0,-0.0,-18462.4,18039.75,-0.0,-0.0,-0.0,-0.0,-422.65000000000146,179061.70000000024,-0.0,72543.95000000013,-422.65000000000146,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,179061.70000000024,-0.0,72543.95000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:30,11609.95,-19185.45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7575.5,171486.20000000024,-7575.5,64968.45000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171486.20000000024,-0.0,64968.45000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171486.20000000024,-0.0,64968.45000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171486.20000000024,-0.0,64968.45000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:50,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171486.20000000024,-0.0,64968.45000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 05:55,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171486.20000000024,-0.0,64968.45000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 06:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171486.20000000024,-0.0,64968.45000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 06:05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171486.20000000024,-0.0,64968.45000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 06:10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171486.20000000024,-0.0,64968.45000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 06:15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,171486.20000000024,-0.0,64968.45000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 06:20,-5742.0,9585.199999999999,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3843.199999999999,175329.40000000026,3843.199999999999,68811.65000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 06:25,-5834.650000000001,9668.75,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3834.0999999999995,179163.50000000026,3834.0999999999995,72645.75000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 06:30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,179163.50000000026,-0.0,72645.75000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 06:35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,179163.50000000026,-0.0,72645.75000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 06:40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,179163.50000000026,-0.0,72645.75000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 06:45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,179163.50000000026,-0.0,72645.75000000013,-0.0,76771.25000000012,-0.0,12932.200000000004,-0.0,16814.29999999998
27/02/2018 06:50,-0.0,-0.0,-0.0,-0.0,-7368.900000000001,9539.2,-0.0,-0.0,2170.3,181333.80000000025,-0.0,72645.75000000013,-0.0,76771.25000000012,2170.3,15102.500000000004,-0.0,16814.29999999998
27/02/2018 06:55,-0.0,-0.0,-0.0,-0.0,7398.599999999999,-9507.2,-0.0,-0.0,-2108.6000000000013,179225.20000000024,-0.0,72645.75000000013,-0.0,76771.25000000012,-2108.6000000000013,12993.900000000001,-0.0,16814.29999999998
27/02/2018 07:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,179225.20000000024,-0.0,72645.75000000013,-0.0,76771.25000000012,-0.0,12993.900000000001,-0.0,16814.29999999998
27/02/2018 07:05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,179225.20000000024,-0.0,72645.75000000013,-0.0,76771.25000000012,-0.0,12993.900000000001,-0.0,16814.29999999998
27/02/2018 07:10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,179225.20000000024,-0.0,72645.75000000013,-0.0,76771.25000000012,-0.0,12993.900000000001,-0.0,16814.29999999998
27/02/2018 07:15,-0.0,-0.0,9240.0,-9004.150000000001,-0.0,-0.0,-0.0,-0.0,235.84999999999854,179461.05000000025,-0.0,72645.75000000013,235.84999999999854,77007.10000000012,-0.0,12993.900000000001,-0.0,16814.29999999998
27/02/2018 07:20,-0.0,-0.0,-9209.2,9049.599999999999,-0.0,-0.0,-0.0,-0.0,-159.60000000000218,179301.45000000024,-0.0,72645.75000000013,-159.60000000000218,76847.50000000012,-0.0,12993.900000000001,-0.0,16814.29999999998
